,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,94,8,27,0,0
Certhia_familiaris,50,43,105,0,0
Poecile_montanus,35,33,119,0,0
Apus_apus,34,24,63,0,0
non-bird,0,0,0,0,0
