,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,99,0,8,6,16
Certhia_familiaris,13,157,7,17,4
Poecile_montanus,27,18,114,22,6
Apus_apus,11,0,2,107,1
non-bird,20,0,0,0,139
