,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,104,2,3,1,0,2,4,8,5
Certhia familiaris,3,170,1,6,1,0,11,4,2
Apus apus,2,1,113,1,0,0,2,1,1
Bubo bubo,2,16,2,176,0,1,7,4,1
Periparus ater,0,2,0,0,44,0,14,0,0
Emberiza cia,1,6,2,2,0,129,9,5,2
Lophophanes cristatus,1,11,0,16,3,6,389,8,1
Certhia brachydactyla,7,2,1,1,0,12,26,137,1
non-bird,5,0,0,0,0,0,9,2,820
