epoch,breakpoint_hz,transition_width
1,3994.096923828125,99.82781982421875
2,3988.224365234375,99.65283966064453
3,3982.3623046875,99.48384857177734
4,3976.50634765625,99.30557250976562
5,3970.70654296875,99.13162231445312
6,3964.973876953125,98.95712280273438
7,3959.2431640625,98.77765655517578
8,3953.51220703125,98.6000747680664
9,3947.779052734375,98.4271469116211
10,3942.0390625,98.26081085205078
11,3936.304931640625,98.09993743896484
12,3930.570556640625,97.92776489257812
13,3924.836669921875,97.75785827636719
14,3919.1044921875,97.59998321533203
15,3913.36474609375,97.44129180908203
16,3907.6318359375,97.28105163574219
17,3901.897216796875,97.1169204711914
18,3896.166259765625,96.95519256591797
19,3890.442626953125,96.79768371582031
20,3884.821533203125,96.6413345336914
21,3879.200927734375,96.4897232055664
22,3873.579833984375,96.33880615234375
23,3867.972900390625,96.18063354492188
24,3862.352783203125,96.01982879638672
25,3856.738037109375,95.8652572631836
26,3851.122802734375,95.71466827392578
27,3845.50146484375,95.56597137451172
28,3839.892822265625,95.40426635742188
29,3834.27685546875,95.25572967529297
30,3828.669677734375,95.09929656982422
31,3823.063720703125,94.94535064697266
32,3817.448974609375,94.78948211669922
33,3811.8408203125,94.64076232910156
34,3806.2998046875,94.4857177734375
35,3800.80322265625,94.33203887939453
36,3795.31396484375,94.176513671875
37,3789.8173828125,94.02349853515625
38,3784.323486328125,93.86746215820312
39,3778.8330078125,93.7177734375
40,3773.341064453125,93.56241607666016
41,3770.58984375,93.48556518554688
42,3767.839111328125,93.40657806396484
43,3765.087646484375,93.32855987548828
44,3762.336181640625,93.25343322753906
45,3759.588623046875,93.17772674560547
46,3756.833740234375,93.10603332519531
47,3754.082275390625,93.033935546875
48,3751.330810546875,92.95734405517578
49,3748.58056640625,92.88262176513672
50,3745.8291015625,92.80845642089844
51,3743.0791015625,92.73114776611328
52,3740.32763671875,92.65380096435547
53,3737.576416015625,92.57544708251953
54,3734.8251953125,92.49885559082031
55,3732.0751953125,92.42598724365234
56,3729.32470703125,92.34819030761719
57,3727.88916015625,92.31037902832031
58,3726.45361328125,92.27084350585938
59,3725.01806640625,92.2320785522461
60,3723.58251953125,92.1943359375
61,3722.14697265625,92.15509033203125
62,3720.71142578125,92.11856079101562
63,3720.11328125,92.10192108154297
64,3719.51513671875,92.08517456054688
65,3718.9169921875,92.06753540039062
