,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,118,3,4,4,0
Certhia_familiaris,7,172,13,6,0
Poecile_montanus,24,23,129,11,0
Apus_apus,5,0,5,110,1
non-bird,4,0,0,3,152
