,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,0,0,0,0,0
Certhia_familiaris,0,0,0,0,0
Poecile_montanus,0,0,156,31,0
Apus_apus,0,0,33,88,0
non-bird,0,0,0,0,0
