,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,114,1,0,2,0,2,5,2,3
Certhia familiaris,6,171,0,4,0,6,9,1,1
Apus apus,6,1,108,0,0,0,3,2,1
Bubo bubo,5,14,1,174,0,2,6,5,2
Periparus ater,1,1,0,0,44,1,12,1,0
Emberiza cia,5,7,0,2,0,133,7,1,1
Lophophanes cristatus,2,7,1,11,2,3,390,14,5
Certhia brachydactyla,7,1,1,2,1,9,22,143,1
non-bird,5,0,0,0,0,0,5,0,826
