,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,71,6,6,7,39
Certhia_familiaris,20,149,18,7,4
Poecile_montanus,17,17,139,7,7
Apus_apus,9,10,16,75,11
non-bird,22,4,3,5,125
