,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,110,4,2,0,0,0,7,3,3
Certhia familiaris,3,169,1,7,0,1,8,8,1
Apus apus,4,1,107,2,0,0,6,0,1
Bubo bubo,2,12,3,178,1,1,5,5,2
Periparus ater,1,0,0,0,46,1,12,0,0
Emberiza cia,2,7,1,5,0,119,11,9,2
Lophophanes cristatus,1,8,3,16,3,4,389,9,2
Certhia brachydactyla,5,3,1,1,0,11,18,148,0
non-bird,3,0,0,0,0,0,8,0,825
