,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,99,14,7,5,4
Certhia_familiaris,3,184,9,1,1
Poecile_montanus,6,20,155,3,3
Apus_apus,6,4,3,108,0
non-bird,4,1,0,0,154
