,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,88,16,12,13,0
Certhia_familiaris,21,154,16,7,0
Poecile_montanus,13,28,136,10,0
Apus_apus,10,19,14,78,0
non-bird,0,0,0,0,0
