,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,115,2,5,4,3
Certhia_familiaris,8,180,8,1,1
Poecile_montanus,24,16,142,1,4
Apus_apus,14,0,0,107,0
non-bird,6,0,0,0,153
