,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,1,2,52,5,69
Certhia_familiaris,0,10,138,1,49
Poecile_montanus,0,7,148,3,29
Apus_apus,0,1,96,0,24
non-bird,0,2,27,1,129
