,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,13,48,12,10,46
Certhia_familiaris,5,140,19,14,20
Poecile_montanus,4,52,102,5,24
Apus_apus,5,18,19,60,19
non-bird,4,15,5,11,124
