,Bubo_bubo,Certhia_familiaris,Apus_apus,Certhia_brachydactyla,Emberiza_cia,Lophophanes_cristatus,Periparus_ater,Poecile_montanus,non-bird
Bubo_bubo,103,2,0,2,0,0,9,12,1
Certhia_familiaris,5,169,0,3,0,1,17,3,0
Apus_apus,7,5,74,13,0,0,22,0,0
Certhia_brachydactyla,9,39,9,124,0,4,18,5,1
Emberiza_cia,8,7,0,0,1,1,40,3,0
Lophophanes_cristatus,10,26,3,15,0,41,21,40,0
Periparus_ater,9,49,0,13,1,3,333,27,0
Poecile_montanus,18,24,0,1,0,3,45,95,1
non-bird,21,1,1,0,0,0,2,0,162
