,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,89,4,2,2,0,4,12,10,6
Certhia familiaris,4,161,1,24,0,1,5,1,1
Apus apus,6,2,90,12,0,0,9,2,0
Bubo bubo,3,31,28,113,0,4,24,2,4
Periparus ater,6,12,0,2,0,0,37,2,1
Emberiza cia,8,19,5,56,0,28,23,15,2
Lophophanes cristatus,13,45,9,16,0,3,337,7,5
Certhia brachydactyla,11,25,6,13,0,27,64,32,9
non-bird,16,4,25,4,0,5,12,3,767
