,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,110,4,2,1,12
Certhia_familiaris,4,187,6,1,0
Poecile_montanus,15,42,127,1,2
Apus_apus,8,6,6,101,0
non-bird,40,2,0,0,117
