,Bubo_bubo,Certhia_familiaris,Apus_apus,Certhia_brachydactyla,Emberiza_cia,Lophophanes_cristatus,Periparus_ater,Poecile_montanus,non-bird
Bubo_bubo,100,2,1,0,0,0,11,7,8
Certhia_familiaris,3,165,1,4,1,3,15,2,4
Apus_apus,7,1,102,4,0,1,5,1,0
Certhia_brachydactyla,7,29,13,142,0,5,5,2,6
Emberiza_cia,3,1,0,0,14,1,40,1,0
Lophophanes_cristatus,12,14,3,10,0,61,21,29,6
Periparus_ater,8,23,0,19,3,4,352,20,6
Poecile_montanus,13,11,0,1,6,8,42,102,4
non-bird,5,0,1,0,0,0,1,0,180
