,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,19,24,53,0,33
Certhia_familiaris,0,48,128,0,22
Poecile_montanus,0,29,140,0,18
Apus_apus,1,12,93,0,15
non-bird,1,12,26,0,40
