,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,117,1,5,1,5
Certhia_familiaris,8,180,8,0,2
Poecile_montanus,20,19,144,3,1
Apus_apus,4,1,4,112,0
non-bird,2,3,0,0,154
