epoch,breakpoint_hz,transition_width
1,3981.0595703125,99.5401840209961
2,3962.23291015625,99.0132064819336
3,3943.521728515625,98.4605941772461
4,3924.9033203125,97.90563201904297
5,3906.316650390625,97.37703704833984
6,3887.79931640625,96.8643798828125
7,3869.406982421875,96.3445053100586
8,3851.071044921875,95.86407470703125
9,3832.867431640625,95.36518096923828
10,3814.744140625,94.86799621582031
11,3796.733154296875,94.37911987304688
12,3778.775146484375,93.90545654296875
13,3760.939208984375,93.4198226928711
14,3743.189453125,92.929443359375
15,3725.544921875,92.41690063476562
16,3707.971435546875,91.92818450927734
17,3690.48876953125,91.42516326904297
18,3673.116455078125,90.89848327636719
19,3655.822021484375,90.40078735351562
20,3638.5732421875,89.92406463623047
21,3621.41357421875,89.43057250976562
22,3604.35791015625,88.91852569580078
23,3587.3701171875,88.42845916748047
24,3570.42529296875,87.96436309814453
25,3553.606201171875,87.47702026367188
26,3536.823486328125,87.0321044921875
27,3520.11181640625,86.59288787841797
28,3503.48046875,86.144287109375
29,3486.960693359375,85.68763732910156
30,3470.509765625,85.22724914550781
31,3454.1416015625,84.79646301269531
32,3437.841552734375,84.34725952148438
33,3421.60888671875,83.93241119384766
34,3405.486083984375,83.5045166015625
35,3389.47705078125,83.0499038696289
36,3373.472900390625,82.64376831054688
37,3357.563232421875,82.19062042236328
38,3341.741943359375,81.74732971191406
39,3325.955322265625,81.32818603515625
40,3310.298095703125,80.87255096435547
41,3294.626220703125,80.48851776123047
42,3279.00537109375,80.10652160644531
43,3263.500732421875,79.72471618652344
44,3248.046142578125,79.34596252441406
45,3232.65673828125,78.96955108642578
46,3217.372314453125,78.59452819824219
47,3202.13427734375,78.21981811523438
48,3186.987548828125,77.84710693359375
49,3171.933837890625,77.47559356689453
50,3156.912841796875,77.10111236572266
