,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,112,4,1,0,0,1,5,5,1
Certhia familiaris,3,173,0,6,1,1,9,5,0
Apus apus,2,2,113,0,0,1,2,1,0
Bubo bubo,4,13,1,181,0,3,3,4,0
Periparus ater,1,0,0,0,51,1,7,0,0
Emberiza cia,3,4,0,3,2,130,9,4,1
Lophophanes cristatus,1,8,1,16,2,3,389,13,2
Certhia brachydactyla,4,2,1,2,2,8,23,145,0
non-bird,6,0,1,0,0,0,1,3,114
