,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,92,2,0,3,0,0,12,20,0
Certhia familiaris,4,155,0,8,0,1,23,7,0
Apus apus,6,2,77,19,0,1,16,0,0
Bubo bubo,6,34,2,115,0,5,36,10,1
Periparus ater,5,6,0,0,0,1,44,4,0
Emberiza cia,5,15,0,26,0,20,31,58,1
Lophophanes cristatus,5,34,0,4,0,2,375,13,2
Certhia brachydactyla,12,16,0,3,0,3,78,75,0
non-bird,60,5,1,6,0,1,44,27,692
