,Bubo_bubo,Certhia_familiaris,Poecile_montanus,Apus_apus,non-bird
Bubo_bubo,96,4,10,7,12
Certhia_familiaris,4,172,9,8,5
Poecile_montanus,12,32,122,5,16
Apus_apus,11,3,2,103,2
non-bird,16,0,0,2,141
