,Bubo_bubo,Certhia_familiaris,Apus_apus,Certhia_brachydactyla,Emberiza_cia,Lophophanes_cristatus,Periparus_ater,Poecile_montanus,non-bird
Bubo_bubo,0,0,12,0,0,0,30,50,37
Certhia_familiaris,0,0,4,0,0,0,146,46,2
Apus_apus,0,0,68,0,0,0,49,2,2
Certhia_brachydactyla,0,0,16,0,0,0,174,14,5
Emberiza_cia,0,0,1,0,0,0,52,6,1
Lophophanes_cristatus,0,0,3,0,0,0,115,32,6
Periparus_ater,0,0,7,0,0,0,404,18,6
Poecile_montanus,0,0,2,0,0,0,109,67,9
non-bird,0,0,1,0,0,0,11,11,164
