,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,114,6,0,0,0,0,5,0,4
Certhia familiaris,5,174,1,5,0,0,11,0,2
Apus apus,13,9,69,27,0,0,3,0,0
Bubo bubo,19,63,5,107,0,0,14,0,1
Periparus ater,8,17,0,0,0,0,35,0,0
Emberiza cia,24,44,4,54,0,1,23,1,5
Lophophanes cristatus,39,77,1,16,0,1,292,0,9
Certhia brachydactyla,50,50,1,17,0,0,67,1,1
non-bird,10,2,0,0,0,0,1,0,112
