,Poecile montanus,Certhia familiaris,Apus apus,Bubo bubo,Periparus ater,Emberiza cia,Lophophanes cristatus,Certhia brachydactyla,non-bird
Poecile montanus,75,6,1,0,0,0,12,20,15
Certhia familiaris,1,172,0,5,0,0,9,8,3
Apus apus,5,3,100,1,0,0,9,2,1
Bubo bubo,4,46,9,100,0,4,24,18,4
Periparus ater,3,6,0,0,0,0,45,6,0
Emberiza cia,3,40,3,23,0,6,14,64,3
Lophophanes cristatus,4,42,1,6,0,0,331,43,8
Certhia brachydactyla,6,36,1,3,0,1,38,97,5
non-bird,5,14,2,0,0,0,3,8,804
